epoch,train_loss,val_loss
1,2484.5381600204364,2155.908729178582
2,1915.4163523142117,1483.824610918123
3,1188.5070273419678,777.5994514478303
4,557.9791815682901,300.95294640487
5,215.8649508371891,119.32826217069949
6,86.94763487097761,38.773946168115344
7,44.854878536792796,16.60667983233565
8,28.977875445929484,8.56519828692998
9,23.215885189661638,5.248967305845422
10,21.18691647775492,4.4146473773659105
11,19.400648874540398,3.8590421149964116
12,18.465121035566867,2.7146250181811395
13,17.710164356361627,2.4686919186637217
14,16.70474779047943,3.6571013351049
15,16.14526864429457,3.3868512235601993
16,15.86669440958551,2.0517332281562277
17,15.567398971329405,3.116590500311895
18,15.169972726267321,2.6494850111765937
19,14.795455689354599,1.614195652279404
20,14.522133670730163,1.3789867138669472
21,14.015148386551921,1.8793739339902122
22,13.51118256826195,2.215076256983399
23,13.300261434915848,1.9365598113790299
24,13.112789011196492,2.35152730999714
25,13.012644302354909,1.8745287913109663
26,12.563105780618107,1.427608623110255
27,12.793925573836535,2.047631712166807
28,12.559265478609102,1.902500173408683
29,12.353177763102936,2.9745918277311665
30,12.263220232229015,0.8952834159639528
31,11.945872060976717,2.737835776346876
32,11.709690700375607,1.8987696369644023
33,11.597072399745123,3.229551577675353
34,11.380733383013155,1.9880139058584547
35,11.620979573830633,2.290975542137153
36,11.374635624843538,2.099195530142995
37,11.457712445284306,2.184517040256501
38,11.207323078377197,1.995894899949132
39,11.21185291158344,2.4453612698782847
40,10.982175162209238,1.9576127979013607
