epoch,train_loss,val_loss
1,2092.602973999385,1358.4614765456038
2,734.6619135948621,157.59953227820952
3,106.82757336183589,31.65808387391626
4,44.10161136785934,18.516869282181208
5,29.021163175087004,13.843193831197237
6,21.941783761855962,11.567777318331656
7,18.26896696393605,6.406460579930216
8,15.510044376925318,7.158515474207104
9,14.04291883168868,10.026543238926248
10,12.27249097698094,6.757032181508709
11,11.46255254925368,7.431337251404736
12,10.447331313716417,7.3740309418934755
13,10.052173079800138,7.275389353186265
14,9.215120302376912,6.452937363066522
15,8.861495169268148,6.478406944192878
16,8.35674338397085,4.435174818846783
17,8.036700550824204,8.082600253519386
18,7.631390717435444,6.2426261307084685
19,7.450991977587177,5.8271318034036526
20,7.1747222357673275,5.5631746578626675
21,7.046389099023391,5.508063905107247
22,6.72083843111898,5.513110782952532
23,6.552464538530637,5.197396673680735
24,6.396433070850328,4.667087791476062
25,6.227055444095262,4.742756724727191
26,6.142618123718003,5.612829552007706
